,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total sample0,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total sample1,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,total sample2,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,total sample3
sample dates,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,Total Sample,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,Total Sample,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,Total Sample,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,Total Sample
contract month,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,66,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,89,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,95,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,89
moneyness, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03,0, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03,0, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03,0, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03,0
avg hedging error(%),16.1212,33.6455,80.3295,75.3654,8.397,16.2193,21.6317,41.6405,5.4336,11.1253,12.5092,21.2418,6.13,7.4269,8.0443,14.3745,0,13.0008,48.9735,87.3512,80.578,7.3153,15.4349,24.5565,36.452,5.3286,9.6299,12.4964,19.592,5.8528,7.5107,8.1105,10.2982,0,3.9679,36.339,81.721,90.3534,4.1523,15.3377,35.0901,41.0072,5.7668,9.1378,12.1838,24.4287,4.8659,7.2316,8.3917,12.798,0,3.585,25.2866,69.4526,67.7691,4.0693,9.9592,27.4204,38.7698,4.232,8.0974,15.1517,28.075,5.0444,6.6874,9.713,19.9208,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sample dates,contract month,moneyness,avg hedging error(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,0, '< 0.97,16.1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,0, '0.97 - 1.00,33.6455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,0, '1.00 - 1.03,80.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,0, '> 1.03,75.3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,1, '< 0.97,8.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,1, '0.97 - 1.00,16.2193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,1, '1.00 - 1.03,21.6317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,1, '> 1.03,41.6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,2, '< 0.97,5.4336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,2, '0.97 - 1.00,11.1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,2, '1.00 - 1.03,12.5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,2, '> 1.03,21.2418,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,3, '< 0.97,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,3, '0.97 - 1.00,7.4269,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,3, '1.00 - 1.03,8.0443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,3, '> 1.03,14.3745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Sample,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
