0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
代码,行使价,买,卖,最新,隐含波动率,DM,成交量,未平仓,VB,VA,HV30,HV60,HV90,代码,行使价,买,卖,最新,隐含波动率,DM,成交量,未平仓,VB,VA,HV30,HV60,HV90
21-Jul-17 (18天); CSize 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPX 7/21/17 C1000,1000,1422.300049,1428.199951,0,150.463913,0.996061683,0,0,0,0.132745057,,,,SPX 7/21/17 P1000,1000,0,0.100000024,0,127.9320221,-0.000513457,0,0,0,0.009748944,,,
SPX 7/21/17 C1100,1100,1322.400024,1328.300049,0,136.013916,0.995679379,0,0,0,0.146633387,,,,SPX 7/21/17 P1100,1100,0,0.100000024,0,114.7642136,-0.000572384,0,0,0,0.010779466,,,
SPX 7/21/17 C1200,1200,1222.5,1228.300049,0,121.6732864,0.995428562,0,0,0,0.159011245,,,,SPX 7/21/17 P1200,1200,0,0.100000024,0,102.7319717,-0.000638928,0,0,0,0.011932113,,,
SPX 7/21/17 C1225,1225,1197.5,1203.400024,0,119.0293808,0.995215476,0,0,0,0.165255368,,,,SPX 7/21/17 P1225,1225,0,0.100000024,0,99.878685,-0.000657037,0,0,0,0.012243917,,,
SPX 7/21/17 C1250,1250,1172.5,1178.400024,0,115.4417191,0.995192349,0,0,0,0.168670714,,,,SPX 7/21/17 P1250,1250,0,0.100000024,0,97.08174896,-0.000675798,0,0,0,0.012566124,,,
SPX 7/21/17 C1275,1275,1147.5,1153.400024,0,111.9261398,0.995170236,0,0,0,0.172174737,,,,SPX 7/21/17 P1275,1275,0,0.100000024,0,94.33628082,-0.000695061,0,0,0,0.012896121,,,
SPX 7/21/17 C1300,1300,1122.5,1128.400024,0,108.4812012,0.995148778,0,0,0,0.175771654,,,,SPX 7/21/17 P1300,1300,0,0.100000024,0,91.64310455,-0.000715088,0,0,0,0.013238333,,,
SPX 7/21/17 C1325,1325,1097.5,1103.400024,0,105.1022873,0.995128512,0,0,0,0.179454669,,,,SPX 7/21/17 P1325,1325,0,0.100000024,0,89.00022125,-0.000735945,0,0,0,0.013593802,,,
SPX 7/21/17 C1350,1350,1072.599976,1078.400024,0,102.7147217,0.994882286,0,0,0,0.183249101,,,,SPX 7/21/17 P1350,1350,0,0.100000024,0,86.40506744,-0.000757644,0,0,0,0.013962642,,,
SPX 7/21/17 C1375,1375,1047.599976,1053.5,0,100.3224869,0.994626045,0,0,0,0.190551549,,,,SPX 7/21/17 P1375,1375,0,0.100000024,0,83.85506439,-0.00078018,0,0,0,0.014344699,,,
SPX 7/21/17 C1400,1400,1022.599976,1028.5,0,97.11962128,0.99459213,0,0,0,0.194649488,,,,SPX 7/21/17 P1400,1400,0,0.100000024,0,81.34953308,-0.000803719,0,0,0,0.014742672,,,
SPX 7/21/17 C1425,1425,997.5999756,1003.5,0,93.97333527,0.99455899,0,0,0,0.198876977,,,,SPX 7/21/17 P1425,1425,0,0.100000024,0.050000001,78.8833847,-0.000827981,6,0,0,0.015151745,,,
SPX 7/21/17 C1450,1450,972.5999756,978.5,0,90.88360596,0.994525909,0,0,0,0.203260526,,,,SPX 7/21/17 P1450,1450,0,0.100000024,0,76.4613266,-0.000853702,0,0,0,0.015584198,,,
SPX 7/21/17 C1475,1475,947.7000122,953.5,0,88.63775635,0.994234204,0,0,0,0.207774848,,,,SPX 7/21/17 P1475,1475,0,0.100000024,0,74.07666016,-0.000880417,0,0,0,0.016032079,,,
SPX 7/21/17 C1500,1500,922.7000122,928.5,0,85.64813232,0.994192123,0,0,0,0.212470099,,,,SPX 7/21/17 P1500,1500,0,0.100000024,0,71.72946167,-0.00090838,0,0,0,0.016499508,,,
SPX 7/21/17 C1525,1525,897.7000122,903.5999756,0,83.44239807,0.993876278,0,0,0,0.221180782,,,,SPX 7/21/17 P1525,1525,0,0.100000024,0,69.41780853,-0.000937619,0,0,0,0.01698683,,,
SPX 7/21/17 C1540,1540,882.7000122,888.5999756,0,81.69525146,0.99384588,0,0,0,0.22424151,,,,SPX 7/21/17 P1540,1540,0,0.100000024,0,68.0478363,-0.000955888,0,0,0,0.017290566,,,
SPX 7/21/17 C1550,1550,872.7000122,878.5999756,0,80.54343414,0.993824124,0,0,0,0.226302609,,,,SPX 7/21/17 P1550,1550,0,0.100000024,0,67.14187622,-0.000968449,0,0,0,0.017499095,,,
SPX 7/21/17 C1560,1560,862.7000122,868.5999756,0,79.39658356,0.993803322,0,0,0,0.228417978,,,,SPX 7/21/17 P1560,1560,0,0.100000024,0,66.24068451,-0.00098118,0,0,0,0.017710174,,,
SPX 7/21/17 C1570,1570,852.7000122,858.5999756,0,78.25752258,0.993782222,0,0,0,0.230559066,,,,SPX 7/21/17 P1570,1570,0,0.100000024,0,65.34475708,-0.000994171,0,0,0,0.0179253,,,
SPX 7/21/17 C1575,1575,847.7000122,853.5999756,0,77.69038391,0.993771791,0,0,0,0.231642783,,,,SPX 7/21/17 P1575,1575,0,0.100000024,0,64.89797974,-0.001000649,0,0,0,0.018032465,,,
