,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total sample0,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total sample1,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,total sample2,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,total sample3
sample dates,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,2015.9-2016.1,Total Sample,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,2016.2-2016.7,Total Sample,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,2016.8-2017.1,Total Sample,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,2017.2-2017.7,Total Sample
contract month,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,67,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,85,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,95,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,88
moneyness, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03,0, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03,0, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03,0, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03, '< 0.97, '0.97 - 1.00, '1.00 - 1.03, '> 1.03,0
avg hedging error(%),13.3595,19.9936,28.59,69.0703,4.9744,10.3071,12.9634,24.4953,3.6293,5.8553,7.3331,12.361,3.8273,4.2295,4.6674,7.9375,0,6.6011,19.8635,29.9989,53.8929,4.6913,9.1673,13.2368,19.4527,3.335,4.7685,7.0239,11.2691,3.169,3.7828,4.1516,5.5315,0,2.2143,20.1578,40.5641,61.7743,3.1902,8.6634,16.0919,27.5461,2.9046,4.1167,5.475,12.3975,2.578,3.5362,4.0418,6.931,0,2.2221,10.0025,21.2394,64.8674,1.7461,4.4267,13.0975,25.3064,2.2302,3.9517,7.9692,16.5112,2.2614,3.1129,5.1795,10.4039,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sample dates,contract month,moneyness,avg hedging error(%),bs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,0, '< 0.97,13.3595,16.1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,0, '0.97 - 1.00,19.9936,33.6455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,0, '1.00 - 1.03,28.59,80.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015.9-2016.1,0, '> 1.03,69.0703,75.3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
